,date,state,fips,cases,deaths,New Cases,New Deaths,population
13879,2020-11-06,Pennsylvania,42,0.017884138858821542,0.0007058646104577913,0.00028446686908418275,3.353090836244479e-06,12823989
13880,2020-11-07,Pennsylvania,42,0.018136478438963103,0.0007087498281540946,0.0002523395801415613,2.8852176963033887e-06,12823989
13881,2020-11-08,Pennsylvania,42,0.01833766388913777,0.000709061743580722,0.00020118545017466875,3.119154266273934e-07,12823989
13882,2020-11-09,Pennsylvania,42,0.018693403433206312,0.0007094516378640062,0.00035573954406854216,3.8989428328424174e-07,12823989
13883,2020-11-10,Pennsylvania,42,0.019030428051677213,0.0007139744115501035,0.0003370246184708986,4.522773686097204e-06,12823989
13884,2020-11-11,Pennsylvania,42,0.019349985406256976,0.0007187311218061713,0.0003195573545797645,4.7567102560677496e-06,12823989
13885,2020-11-12,Pennsylvania,42,0.019819652059901174,0.0007230199589222979,0.0004696666536441976,4.288837116126659e-06,12823989
13886,2020-11-13,Pennsylvania,42,0.020274580709637228,0.0007256712400486307,0.00045492864973605327,2.651281126332844e-06,12823989
13887,2020-11-14,Pennsylvania,42,0.020617297784644075,0.0007293362463115026,0.0003427170750068485,3.6650062628718723e-06,12823989
13888,2020-11-15,Pennsylvania,42,0.02097966553152845,0.0007318315697245217,0.0003623677468843743,2.4953234130191474e-06,12823989
13889,2020-11-16,Pennsylvania,42,0.021464226146794108,0.0007329232737177177,0.0004845606152656556,1.0917039931958768e-06,12823989
13890,2020-11-17,Pennsylvania,42,0.021910343185727935,0.0007355745548440505,0.0004461170389338294,2.651281126332844e-06,12823989
13891,2020-11-18,Pennsylvania,42,0.022416114050004255,0.00074399627136299,0.0005057708642763184,8.421716518939622e-06,12823989
13892,2020-11-19,Pennsylvania,42,0.022952686562660026,0.0007519501147419886,0.0005365725126557734,7.953843378998532e-06,12823989
13893,2020-11-20,Pennsylvania,42,0.023500721967244356,0.0007601378946909577,0.0005480354045843302,8.187779948969077e-06,12823989
13894,2020-11-21,Pennsylvania,42,0.023958769771246686,0.0007690274843498384,0.0004580478040023272,8.889589658880711e-06,12823989
13895,2020-11-22,Pennsylvania,42,0.02446882947263913,0.0007720686597594555,0.0005100597013924451,3.0411754096170858e-06,12823989
13896,2020-11-23,Pennsylvania,42,0.024972728844355682,0.0007744860043158178,0.0005038993717165541,2.417344556362299e-06,12823989
13897,2020-11-24,Pennsylvania,42,0.025469064266976524,0.0007808802705616794,0.0004963354226208398,6.394266245861565e-06,12823989
13898,2020-11-25,Pennsylvania,42,0.02601148519388156,0.0007924211413468929,0.0005424209269050372,1.1540870785213555e-05,12823989
13899,2020-11-26,Pennsylvania,42,0.026590634162271972,0.0008009208367224894,0.0005791489683904127,8.49969537559647e-06,12823989
13900,2020-11-27,Pennsylvania,42,0.02724269336163654,0.0008027923292822538,0.0006520591993645658,1.8714925597643604e-06,12823989
13901,2020-11-28,Pennsylvania,42,0.027779421832005626,0.0008060674412618413,0.0005367284703690872,3.2751119795876305e-06,12823989
13902,2020-11-29,Pennsylvania,42,0.028180545070648454,0.0008114479823711639,0.0004011232386428279,5.380541109322536e-06,12823989
13903,2020-11-30,Pennsylvania,42,0.028615979006220295,0.0008140212846408399,0.0004354339355718412,2.5733022696759955e-06,12823989
13904,2020-12-01,Pennsylvania,42,0.029061784129727496,0.0008276675845557884,0.000445805123507202,1.3646299914948461e-05,12823989
13905,2020-12-02,Pennsylvania,42,0.029736613155235864,0.0008424055884639327,0.0006748290255083657,1.4738003908144338e-05,12823989
13906,2020-12-03,Pennsylvania,42,0.03061527891204523,0.0008583912540785866,0.0008786657568093672,1.5985665614653913e-05,12823989
13907,2020-12-04,Pennsylvania,42,0.03155796531016987,0.0008725054271334761,0.0009426863981246397,1.4114173054889552e-05,12823989
13908,2020-12-05,Pennsylvania,42,0.032444896825784865,0.0008835784247787486,0.0008869315156149931,1.1072997645272466e-05,12823989
13909,2020-12-06,Pennsylvania,42,0.033049622859158724,0.0008881011984648459,0.000604726033373859,4.522773686097204e-06,12823989
13910,2020-12-07,Pennsylvania,42,0.03371883740698779,0.0008913763104444334,0.0006692145478290725,3.2751119795876305e-06,12823989
13911,2020-12-08,Pennsylvania,42,0.034507827478641784,0.000903930906366186,0.0007889900716539916,1.2554595921752585e-05,12823989
13912,2020-12-09,Pennsylvania,42,0.03518047309616376,0.0009231916839604276,0.0006726456175219738,1.9260777594241542e-05,12823989
13913,2020-12-10,Pennsylvania,42,0.03611785693203574,0.0009408928844215321,0.000937383835871974,1.7701200461104576e-05,12823989
13914,2020-12-11,Pennsylvania,42,0.03710577106702134,0.000958983979165921,0.0009879141349856118,1.8091094744388818e-05,12823989
13915,2020-12-12,Pennsylvania,42,0.03789000442841927,0.000973877940787379,0.0007842333613979238,1.4893961621458034e-05,12823989
13916,2020-12-13,Pennsylvania,42,0.038670182889271036,0.0009835473190128283,0.0007801784608517677,9.669378225449195e-06,12823989
13917,2020-12-14,Pennsylvania,42,0.03941222968921761,0.0009878361561289548,0.0007420467999465688,4.288837116126659e-06,12823989
13918,2020-12-15,Pennsylvania,42,0.040159812987986813,0.0010082666165730492,0.0007475832987692051,2.0430460444094266e-05,12823989
13919,2020-12-16,Pennsylvania,42,0.0409544175373201,0.0010293209078703982,0.0007946045493332847,2.1054291297349054e-05,12823989
13920,2020-12-17,Pennsylvania,42,0.0417367014273016,0.0010481917911813554,0.0007822838899815026,1.88708833109573e-05,12823989
13921,2020-12-18,Pennsylvania,42,0.04245301520455141,0.0010655030973591758,0.0007163137772498089,1.7311306177820335e-05,12823989
13922,2020-12-19,Pennsylvania,42,0.04315537076645964,0.0010814887629738298,0.000702355561908233,1.5985665614653913e-05,12823989
13923,2020-12-20,Pennsylvania,42,0.04366831568554839,0.0010888967543562303,0.0005129449190887485,7.407991382400593e-06,12823989
13924,2020-12-21,Pennsylvania,42,0.04440217470554599,0.0010933415491856707,0.0007338590199975998,4.4447948294403555e-06,12823989
13925,2020-12-22,Pennsylvania,42,0.0450080704217697,0.001110730834220148,0.0006058957162237117,1.738928503447718e-05,12823989
13926,2020-12-23,Pennsylvania,42,0.04576641480275755,0.0011283540558245956,0.0007583443809878502,1.7623221604447727e-05,12823989
13927,2020-12-24,Pennsylvania,42,0.04648491198799375,0.0011508899453984247,0.0007184971852362006,2.2535889573829174e-05,12823989
13928,2020-12-25,Pennsylvania,42,0.046990448915700096,0.0011612611333337857,0.0005055369277063478,1.037118793536083e-05,12823989
13929,2020-12-26,Pennsylvania,42,0.047542305284260615,0.0011630546470368932,0.0005518563685605157,1.793513703107512e-06,12823989
13930,2020-12-27,Pennsylvania,42,0.047902645580871914,0.0011728020041189991,0.00036034029661129624,9.747357082106044e-06,12823989
13931,2020-12-28,Pennsylvania,42,0.048302053284668287,0.0011785724395116058,0.00039940770379637725,5.7704353926067775e-06,12823989
13932,2020-12-29,Pennsylvania,42,0.04897719422560328,0.0012000166250922392,0.000675140940934993,2.1444185580633295e-05,12823989
13933,2020-12-30,Pennsylvania,42,0.049649917821981915,0.0012256716689323423,0.0006727235963786307,2.5655043840103108e-05,12823989
13934,2020-12-31,Pennsylvania,42,0.05037902013172344,0.0012492212836427105,0.000729102309741532,2.35496147103682e-05,12823989
13935,2021-01-01,Pennsylvania,42,0.05091645041180244,0.0012669224841038152,0.0005374302800789988,1.7701200461104576e-05,12823989
13936,2021-01-02,Pennsylvania,42,0.051601026794392914,0.0012687159978069227,0.0006845763825904717,1.793513703107512e-06,12823989
13937,2021-01-03,Pennsylvania,42,0.05195006015678897,0.0012729268560663924,0.0003490333623960532,4.210858259469811e-06,12823989
13938,2021-01-04,Pennsylvania,42,0.05230579970085751,0.0012783853760323718,0.00035573954406854216,5.458519965979384e-06,12823989
13939,2021-01-05,Pennsylvania,42,0.053006907601059236,0.001293123379940516,0.0007011079002017235,1.4738003908144338e-05,12823989
13940,2021-01-06,Pennsylvania,42,0.053740064811346924,0.001322521408900148,0.0007331572102876882,2.9398028959631827e-05,12823989
13941,2021-01-07,Pennsylvania,42,0.05450862442255682,0.0013427959116309287,0.0007685596112098973,2.027450273078057e-05,12823989
13942,2021-01-08,Pennsylvania,42,0.05530533440101984,0.0013589375349588961,0.0007967099784630195,1.6141623327967607e-05,12823989
13943,2021-01-09,Pennsylvania,42,0.05603888150559081,0.0013787441645497357,0.0007335471045709724,1.980662959083948e-05,12823989
13944,2021-01-10,Pennsylvania,42,0.05657412837768342,0.0013864640713587637,0.0005352468720926071,7.719906809027987e-06,12823989
13945,2021-01-11,Pennsylvania,42,0.05707794977054331,0.0013927803587479683,0.0005038213928598972,6.316287389204716e-06,12823989
13946,2021-01-12,Pennsylvania,42,0.05764290658702218,0.0014107154957790436,0.0005649568164788663,1.793513703107512e-05,12823989
13947,2021-01-13,Pennsylvania,42,0.05826931074254665,0.0014393337361721069,0.0006264041555244628,2.8618240393063345e-05,12823989
13948,2021-01-14,Pennsylvania,42,0.058830446595049324,0.0014622595200292202,0.0005611358525026807,2.2925783857113415e-05,12823989
